Movie Title,Release Year,IMDb Rating,Movie Link,Stream
The Night Manager,2023,7.6,/in/tv-show/the-night-manager-2023,Hotstar
Black Mirror,2011,8.7,/in/tv-show/black-mirror,Netflix
All of Us Are Dead,2022,7.5,/in/tv-show/all-of-us-are-dead,Netflix
Sherlock,2010,9.1,/in/tv-show/sherlock,Amazon Prime Video
Dhootha,2023,7.8,/in/tv-show/dhootha,Amazon Prime Video
Joram,2023,6.8,/in/movie/joram,Amazon Video
The Embassy,2016,6.5,/in/tv-show/the-embassy,
The White Lotus,2021,8.0,/in/tv-show/the-white-lotus,Jio Cinema
Past Lives,2023,7.9,/in/movie/past-lives,Lionsgate Play
The Wheel of Time,2021,7.2,/in/tv-show/the-wheel-of-time,Amazon Prime Video
Prison Break,2005,8.3,/in/tv-show/prison-break,Hotstar
The Wire,2002,9.3,/in/tv-show/the-wire,Jio Cinema
Talk to Me,2023,7.1,/in/movie/talk-to-me-2022,"Amazon Prime Video, Google Play Movies, Google Play Movies"
Person of Interest,2011,8.5,/in/tv-show/person-of-interest,
Vikings,2013,8.5,/in/tv-show/vikings,Netflix
The Good Doctor,2017,8.0,/in/tv-show/the-good-doctor,Netflix
Normal People,2020,8.4,/in/tv-show/normal-people,Lionsgate Play
Leo,2023,7.2,/in/movie/leo-2023,Netflix
Merry Christmas,2024,7.8,/in/movie/merry-christmas-2024,
Westworld,2016,8.5,/in/tv-show/westworld,Jio Cinema
Lost,2004,8.3,/in/tv-show/lost,
Primal,2019,8.7,/in/tv-show/primal,
Ayalaan,2024,6.3,/in/movie/ayalaan,"Sun Nxt, Bookmyshow"
Shark Tank,2009,7.7,/in/tv-show/shark-tank,Jio Cinema
Mahabharatham,2013,9.0,/in/tv-show/mahabharatham,Hotstar
Yellowjackets,2021,7.8,/in/tv-show/yellowjackets,Jio Cinema
Sengoku Youko,2024,7.7,/in/tv-show/sengoku-youko,Netflix
Garmi,2023,7.5,/in/tv-show/garmi,Sony Liv
Nurse Jackie,2009,7.8,/in/tv-show/nurse-jackie,Voot
Bigg Boss OTT,2021,2.0,/in/tv-show/bigg-boss-ott,Jio Cinema
Welcome to Samdal-ri,2023,,/in/tv-show/welcome-to-samdal-ri,Netflix
Mangalavaaram,2023,6.7,/in/movie/mangalavaram,"Hotstar, Bookmyshow"
Mad Men,2007,8.7,/in/tv-show/mad-men,Lionsgate Play
Criminal Justice,2019,8.1,/in/tv-show/criminal-justice-2019,Hotstar
The Family Plan,2023,6.3,/in/movie/the-family-plan,Apple TV Plus
Gotham,2014,7.8,/in/tv-show/gotham,
Band of Brothers,2001,9.4,/in/tv-show/band-of-brothers,
Hello Mini,2019,,/in/tv-show/hello-mini,MX Player
The 100,2014,7.6,/in/tv-show/the-100,
Broken But Beautiful,2018,8.6,/in/tv-show/broken-but-beautiful,Alt Balaji
365 Days,2020,3.3,/in/movie/365-days,Netflix
Invincible,2021,8.7,/in/tv-show/invincible,Amazon Prime Video
Joe,2023,7.7,/in/movie/joe-2023,
Interstellar,2014,8.7,/in/movie/interstellar,"Netflix, Amazon Video, Apple TV"
Bhaukaal,2020,7.8,/in/tv-show/bhaukaal,MX Player
Tulsa King,2022,8.0,/in/tv-show/tulsa-king,Jio Cinema
Harry Potter and the Philosopher's Stone,2001,7.6,/in/movie/harry-potter-and-the-philosophers-stone,"Jio Cinema, Amazon Video, Apple TV"
Slow Horses,2022,8.1,/in/tv-show/slow-horses,Apple TV Plus
Grey's Anatomy,2005,7.6,/in/tv-show/greys-anatomy,Hotstar
Snowfall,2017,8.3,/in/tv-show/snowfall,Hotstar
The Trust: A Game of Greed,2024,6.2,/in/tv-show/the-trust-a-game-of-greed,Netflix
Ishura,2024,6.3,/in/tv-show/ishura,Hotstar
Sacred Games 2,2018,8.5,/in/tv-show/sacred-games,Netflix
Boy Swallows Universe,2024,8.1,/in/tv-show/boy-swallows-universe,Netflix
777 Charlie,2022,8.8,/in/movie/777-charlie,Voot
Crash Course,2022,7.3,/in/tv-show/crash-course,Amazon Prime Video
